No,TÊN KHÓA HỌC (course name)    ,CHUYÊN NGÀNH (course category),"TÊN GIẢNG VIÊN
(instructor name)",LINK KHÓA HỌC (course link),MÔ TẢ (course description)
1,HỘI HỌA: MÀU SẮC VÀ PHỐI MÀU CƠ BẢN,Design,Mr. Lê Hoàng Anh Thi,https://onlinica.com/courses/course-v1:Onlinica+001+2022_001/about ,"Bạn yêu thích việc sử dụng màu sắc, nhưng lại không biết làm sao để phối ra những màu sắc mà bản thân mong muốn. Vậy thì khóa học ""Màu sắc và cách phối màu cơ bản"" sẽ mang đến cho bạn những kiến thức cơ bản về màu sắc như việc sử dụng ánh sáng, nhiệt độ trong màu sắc hay thú vị hơn là nắm được các nguyên lý phối màu. Không những thế bạn còn có thể thực hành tô màu với vòng tròn thuần sắc cùng Mr. Anh Thi - Giảng viên chuyên ngành thiết kế. Để có thể có những trải nghiệm tuyệt vời trên còn chần chờ gì mà không nhanh tay đăng ký khóa học để tiếp thu những kiến thức hữu ích bạn nhé!"
2,KỸ NĂNG QUẢN LÝ THỜI GIAN,Personal Development,Ms. Nguyễn Thu Hà,https://onlinica.com/courses/course-v1:Onlinica+002+2022_002/about,Thời gian của chúng ta mỗi ngày là như nhau - 24 giờ/ngày. Nhưng nếu bạn biết cách phân chia và sử dụng thời gian hợp lý thì chắc chắn hiệu suất học tập và làm việc sẽ tốt hơn rất nhiều. Vậy kỹ năng quản lý thời gian là gì và làm thế nào để nâng cao kỹ năng này? Onlinica sẽ bật mí cùng bạn ngay trong khóa học này!
3,KỸ NĂNG SINH TỒN TRONG THÀNH PHỐ ,Personal Development,Ms. Lê Diệu Hiền,https://onlinica.com/courses/course-v1:Onlinica+003+2022_003/about,"Tìm kiếm phòng trọ tại Thành Phố chưa là bao giờ là công việc dễ dàng. Nguy hiểm, khó khăn và nhiều thử thách là những gì bạn phải đối diện khi tìm kiếm một nơi ở mới. Làm thế nào để vượt qua nó ư? Khóa học này của Onlinica sẽ trang bị cho bạn những kỹ năng ""sinh tồn"" cần thiết, giúp bạn có kiến thức và kỹ năng tìm kiếm một nơi trọ tốt và phù hợp với nhu cầu."
4,KHÁM PHÁ NGÀNH DIGITAL MARKETING,Digital Marketing,Ms. Nguyễn Khánh Ly,https://onlinica.com/courses/course-v1:Onlinica+004+2022_004/about#shortDes,"Trước khi cuộc cách mạng công nghiệp 4.0 nổ ra, Marketing tồn tại dưới hình thức như quảng cáo trên TV, tờ rơi và nhân viên tiếp thị sẽ gõ cửa từng nhà để giới thiệu sản phẩm. Tuy nhiên ngày nay Digital marketing đã phát triển và đang dần khẳng định vai trò của mình, trở thành phương pháp tiếp cận khách hàng tất yếu của mọi doanh nghiệp. Vậy để khám phá về ngành Digital marketing các bạn hãy cùng Onlinica tham gia khóa học ""Khám phá ngành Digital Marketing"" để lắng nghe chuyên gia chia sẻ tổng quan về ngành Digital marketing, vai trò và lợi ích của ngành Digital marketing đối với doanh nghiệp và triển vọng nghề nghiệp của ngành Digital marketing trên thị trường lao động nhé!"
5,KỸ NĂNG PHỎNG VẤN TÌM VIỆC LÀM,Soft Skills,Ms. Bùi Thương Huyền,https://onlinica.com/courses/course-v1:Onlinica+005+2022_005/about,"Một cuộc phỏng vấn xin việc thành công là tổng hòa của rất nhiều yếu tố, từ hình thức đến nội dung. Để không làm lãng phí thời gian và công sức cho những cuộc phỏng vấn tìm việc “ra về tay không”, đừng quên trang bị cho mình những kỹ năng cần thiết. Cùng Onlinica tìm hiểu đó là gì trong khóa học này nhé!"
6,NGÀNH TRÍ TUỆ NHÂN TẠO AI - NGHỀ CỦA TƯƠNG LAI,Trí tuệ nhân tạo A.I,Mr. Trần Anh Tuấn,https://onlinica.com/courses/course-v1:Onlinica+006+2022_006/about,"Trí tuệ nhân tạo là một nhánh của khoa học máy tính, liên quan đến việc chúng ta xây dựng hệ thống máy thông minh, có khả năng thực hiện những chức năng như con người. Vậy Trí tuệ nhân tạo là gì? Máy học là gì? Có sự khác biệt như thế nào giữa máy học có giám sát và máy học không giám sát? Học sâu hay còn được biết đến với thuật ngữ Deep Learning có ứng dụng như thế nào? Mọi thắc mắc đều sẽ được giải đáp ở khoá học ''Nhập Môn Trí Tuệ Nhân Tạo - Phần 01'' cùng Tiến sĩ Trần Anh Tuấn - Chuyên gia ngành Trí tuệ nhân tạo tại Onlinica."
7,KHÁM PHÁ NGÀNH GAME DEVELOPER - NHẬP MÔN,Lập trình,Mr. Dương Hoàng Thanh,https://onlinica.com/courses/course-v1:Onlinica+008+2022_008/about,"Để tạo ra được một video game, đó là cả một quá trình không chỉ bao gồm công đoạn lập trình game mà còn có cả thiết kế hình ảnh, âm thanh, dữ liệu. Vậy để có thể hiểu rõ hơn về quy trình tạo ra một video game, cũng như các cơ hội việc làm của một Game Developer thì hãy khám phá khóa học ngay tại Onlinica."
8,KỸ NĂNG GIAO TIẾP HIỆU QUẢ,Soft Skills,Ms. Nguyễn Ngọc Tú Uyên,https://onlinica.com/courses/course-v1:Onlinica+009+2022_009/about,"Giao tiếp là một phần không thể thiếu trong cuộc sống, việc giao tiếp giúp con người đạt được những nhu cầu của bản thân. Để thấu hiểu, truyền đạt đúng ý từ người gửi đến người nhận đúng thông điệp truyền tải. Onlinica giới thiệu cùng bạn khóa học ''Kỹ năng giao tiếp hiệu quả'' với những kiến thức hữu ích về tầm quan trọng của giao tiếp mà bạn không nên bỏ lỡ."
9,KỸ NĂNG TÌM VIỆC LÀM THÊM,Soft Skills,Ms. Nguyễn Ngọc Tú Nguyên,https://onlinica.com/courses/course-v1:Onlinica+010+2022_010/about,"Hầu hết các bạn trẻ đều mong muốn tìm được một công việc làm thêm tốt trong thời gian đi học để vừa tăng thu nhập vừa cải thiện kỹ năng. Tuy nhiên, không phải ai cũng có thể sắp xếp được thời gian học và làm cũng như tìm được công việc phù hợp sở thích. Làm thế nào bây giờ? Câu trả lời sẽ được Onlinica giải đáp trong khóa học này!"
10,SÁNG TẠO VÀ SẢN XUẤT PHIM ANIMATION,Design,"Mr. Kỷ Thế Vinh
Mr. Lê Vũ Quang",https://onlinica.com/courses/course-v1:Onlinica+039+2022-039/about#shortDes,"Bạn đam mê phim hoạt hình và ước mơ ngày nào đó sẽ có thể thực hiện một bộ Animation của riêng mình? Hãy hiện thực hóa điều đó cùng Onlinica! Tham gia khóa học để cùng lắng nghe những chia sẻ từ bộ đôi đạo diễn của dự án phim Animation ""Việt Sử Kiêu Hùng"". Những chia sẻ, kinh nghiệm thực tế khi thực hiện bộ phim ""Bình Ngô Đại Chiến"" sẽ phần nào giúp bạn hiểu hơn quy trình làm phim và truyền cảm hứng cho ước mơ tạo nên một bộ phim Animation của chính bạn."
